판정,레거시 스타일,node_id,HEX,정본 대상,정본 HEX,색차(ΔE),비고
REVIEW,"navy070","1580:13071","#303E47","Brand/G car Gray","#3E3A39",9.8,"정본과 색차 큼 — 개별 판단"
REVIEW,"Gray/905","1348:38783","#66757E","Navy/Navy 040","#728A9A",9.15,"정본과 색차 큼 — 개별 판단"
REVIEW,"Sub Navy/Navy 050","5197:53827","#66757E","Navy/Navy 040","#728A9A",9.15,"정본과 색차 큼 — 개별 판단"
REVIEW,"Navy scale/Navi060","23606:78365","#3C536F","Navy/Navy 050","#436378",8.39,"정본과 색차 큼 — 개별 판단"
REVIEW,"Navy scale/Navi040","40241:26914","#9B9EAE","Navy/Navy 030","#A1B1BB",8.37,"정본과 색차 큼 — 개별 판단"
REVIEW,"level/gold/num","460:6057","#FCF8E8","Gray Scale/Gray 005","#F8F8F8",8.27,"정본과 색차 큼 — 개별 판단"
REVIEW,"text/color/red","43590:50095","#DF1B35","System/Alarm","#D32828",8.16,"정본과 색차 큼 — 개별 판단"
REVIEW,"text/color/red","43590:51207","#DF1B35","System/Alarm","#D32828",8.16,"정본과 색차 큼 — 개별 판단"
REVIEW,"border/input/default","43590:50113","#10131C","Navy/Navy 100","#020609",6.99,"정본과 색차 큼 — 개별 판단"
REVIEW,"border/subtle","43590:49640","#10131C","Navy/Navy 100","#020609",6.99,"정본과 색차 큼 — 개별 판단"
REVIEW,"border/subtler","43590:50109","#10131C","Navy/Navy 100","#020609",6.99,"정본과 색차 큼 — 개별 판단"
REVIEW,"fill/disabled","43590:51347","#10131C","Navy/Navy 100","#020609",6.99,"정본과 색차 큼 — 개별 판단"
REVIEW,"fill/transperent","43590:49636","#10131C","Navy/Navy 100","#020609",6.99,"정본과 색차 큼 — 개별 판단"
REVIEW,"fill/transperent","43590:51218","#10131C","Navy/Navy 100","#020609",6.99,"정본과 색차 큼 — 개별 판단"
REVIEW,"icon/default","43590:49587","#10131C","Navy/Navy 100","#020609",6.99,"정본과 색차 큼 — 개별 판단"
